"OriginalProjectPath","RelativePath","Length","CreationTimeUtc","LastWriteTimeUtc","LastAccessTimeUtc","Attributes","Sha256","ArchiveAction","ArchiveReason","ArchiveRelativePath","ModuleAction","ModuleReason","ModuleRelativePath"
"C++","Код C++\MemoryManagerC++\MemoryManagerC++\Debug\MemoryManagerC++.tlog\link.command.1.tlog","1818","2021-03-15T17:17:07.4647424Z","2016-11-09T19:04:39.0000000Z","2026-07-14T07:12:52.6634249Z","533536","2faf60f99fda1a2dc22b1831fbacc8d7dce0ac8fdcfe24da0abe37ac2bbd40f4","manifest-only","generated-file:.tlog","","metadata-only","generated-ide-or-build-artifact",""
"C++","Код C++\MemoryManagerC++\MemoryManagerC++\Debug\MemoryManagerC++.tlog\link.read.1.tlog","3390","2021-03-15T17:17:07.4617498Z","2016-11-09T19:04:39.0000000Z","2026-07-14T07:12:52.6654243Z","533536","3b557891d8259e87792fb666178b3485a5dc8cb0468df8faf736043140e3fedb","manifest-only","generated-file:.tlog","","metadata-only","generated-ide-or-build-artifact",""
"C++","Код C++\MemoryManagerC++\MemoryManagerC++\Debug\MemoryManagerC++.tlog\link.write.1.tlog","1070","2021-03-15T17:17:07.4587588Z","2016-11-09T19:04:39.0000000Z","2026-07-14T07:12:52.6664248Z","533536","b0447671f2290766731c3abe8cffb974a447ff689f4db1eed5b6dfd981bc8b9f","manifest-only","generated-file:.tlog","","metadata-only","generated-ide-or-build-artifact",""
"C++","Код C++\MemoryManagerC++\MemoryManagerC++\Debug\MemoryManagerC++.tlog\MemoryManagerC++.lastbuildstate","249","2021-03-15T17:17:07.4567634Z","2016-11-09T19:04:39.0000000Z","2026-07-14T07:12:52.6684243Z","533536","4a1ecbed1fd68995b0f9010579739e36afa08553019496deaeb2f2fec07683a5","manifest-only","generated-file:.lastbuildstate","","metadata-only","generated-ide-or-build-artifact",""
"C++","Код C++\MemoryManagerC++\MemoryManagerC++\Debug\stdafx.obj","12581","2021-03-15T17:17:07.4437985Z","2016-11-09T16:52:07.0000000Z","2026-07-14T07:12:52.6694260Z","533536","928582390224bc22838e4e76a7f1b3e471a8923043c98d216afa0bfb13b7a471","manifest-only","generated-file:.obj","","metadata-only","generated-ide-or-build-artifact",""
"C++","Код C++\MemoryManagerC++\MemoryManagerC++\Debug\vc140.idb","576512","2021-03-15T17:17:07.4457941Z","2016-11-09T19:04:39.0000000Z","2026-07-14T07:12:52.6704251Z","533536","d5bd533227500999aabc333c086edf7217de0519e9602664a853f173ed1e1159","manifest-only","generated-file:.idb","","metadata-only","generated-ide-or-build-artifact",""
"C++","Код C++\MemoryManagerC++\MemoryManagerC++\Debug\vc140.pdb","233472","2021-03-15T17:17:07.4418034Z","2016-11-09T19:04:39.0000000Z","2026-07-14T07:12:52.6744245Z","533536","9e3b516d4011f8315678aae6f4a70d22a55aa316fa3dec4586e38cbf101daaa6","manifest-only","generated-file:.pdb","","metadata-only","generated-ide-or-build-artifact",""
"C++","Код C++\MemoryManagerC++\MemoryManagerC++\MemoryManagerC++.cpp","3221","2021-03-15T17:17:07.4348238Z","2016-11-09T19:04:38.0000000Z","2026-07-14T07:12:52.6784258Z","533536","d54969fce0684c5d04db247ecb07354bfcae10214de335e3c776b46a5a238b6f","copied","tracked-original-file","projects\C++\Код C++\MemoryManagerC++\MemoryManagerC++\MemoryManagerC++.cpp","included-exact","historical-source-or-project-file","legacy\C++\Код C++\MemoryManagerC++\MemoryManagerC++\MemoryManagerC++.cpp"
"C++","Код C++\MemoryManagerC++\MemoryManagerC++\MemoryManagerC++.vcxproj","8052","2021-03-15T17:17:07.4368178Z","2016-11-09T16:26:41.0000000Z","2026-07-14T07:12:52.6874244Z","533536","e635d91bd45483ca8e8f872011f39a50a81ed65d64bbb1f35a9800763cc479f6","copied","tracked-original-file","projects\C++\Код C++\MemoryManagerC++\MemoryManagerC++\MemoryManagerC++.vcxproj","included-exact","historical-source-or-project-file","legacy\C++\Код C++\MemoryManagerC++\MemoryManagerC++\MemoryManagerC++.vcxproj"
"C++","Код C++\MemoryManagerC++\MemoryManagerC++\MemoryManagerC++.vcxproj.filters","1503","2021-03-15T17:17:07.4308322Z","2016-11-09T16:26:41.0000000Z","2026-07-14T07:12:52.6974277Z","533536","29d8c3b3eb76b8cbbf114d41e2c9f641147582188bcb66e9b48ae5909868ac66","copied","tracked-original-file","projects\C++\Код C++\MemoryManagerC++\MemoryManagerC++\MemoryManagerC++.vcxproj.filters","included-exact","historical-source-or-project-file","legacy\C++\Код C++\MemoryManagerC++\MemoryManagerC++\MemoryManagerC++.vcxproj.filters"
