"EntryPath","ExtractedRelativePath","Length","CompressedLength","LastWriteTimeUtc","Sha256"
"FileFinder/TestFiles/51/51_2.txt","FileFinder\TestFiles\51\51_2.txt","43","32","2022-02-19T17:02:52.0000000Z","cef23d7feefe261bb6ea7cae637c1c9432b4ba5f19fea0e54e837ec52b49265c"
"FileFinder/TestFiles/51/51_3.txt","FileFinder\TestFiles\51\51_3.txt","43","32","2022-02-19T17:02:58.0000000Z","cef23d7feefe261bb6ea7cae637c1c9432b4ba5f19fea0e54e837ec52b49265c"
"FileFinder/TestFiles/52/52.txt","FileFinder\TestFiles\52\52.txt","43","32","2022-02-19T17:02:54.0000000Z","893147db64ea04a335ec8b4a20cd790656bf6e847ead0637868309090c317ec2"
"FileFinder/TestFiles/52/52_1.txt","FileFinder\TestFiles\52\52_1.txt","43","32","2022-02-19T17:02:54.0000000Z","893147db64ea04a335ec8b4a20cd790656bf6e847ead0637868309090c317ec2"
"FileFinder/TestFiles/53/53.txt","FileFinder\TestFiles\53\53.txt","43","32","2022-02-19T17:02:58.0000000Z","6834977e5e338ba5e8847b7eaf6202af434ef28128524bf17e4d08c5c6d1a2ec"
"FileFinder/TestFiles/53/53_1.txt","FileFinder\TestFiles\53\53_1.txt","43","32","2022-02-19T17:02:54.0000000Z","6834977e5e338ba5e8847b7eaf6202af434ef28128524bf17e4d08c5c6d1a2ec"
"FileFinder/TestFiles/53/53_2.txt","FileFinder\TestFiles\53\53_2.txt","43","32","2022-02-19T17:02:56.0000000Z","6834977e5e338ba5e8847b7eaf6202af434ef28128524bf17e4d08c5c6d1a2ec"
"FileFinder/TestFiles/53/53_3.txt","FileFinder\TestFiles\53\53_3.txt","43","32","2022-02-19T17:02:56.0000000Z","6834977e5e338ba5e8847b7eaf6202af434ef28128524bf17e4d08c5c6d1a2ec"
"FileFinder/TestFiles/53/53_4.txt","FileFinder\TestFiles\53\53_4.txt","43","32","2022-02-19T17:02:56.0000000Z","6834977e5e338ba5e8847b7eaf6202af434ef28128524bf17e4d08c5c6d1a2ec"
"FileFinder/TestFiles/53/53_5.txt","FileFinder\TestFiles\53\53_5.txt","43","32","2022-02-19T17:02:56.0000000Z","6834977e5e338ba5e8847b7eaf6202af434ef28128524bf17e4d08c5c6d1a2ec"
"FileFinder/TestFiles/53/53_6.txt","FileFinder\TestFiles\53\53_6.txt","43","32","2022-02-19T17:02:56.0000000Z","6834977e5e338ba5e8847b7eaf6202af434ef28128524bf17e4d08c5c6d1a2ec"
"FileFinder/TestFiles/53/53_7.txt","FileFinder\TestFiles\53\53_7.txt","43","32","2022-02-19T17:02:56.0000000Z","6834977e5e338ba5e8847b7eaf6202af434ef28128524bf17e4d08c5c6d1a2ec"
"FileFinder/valgrind.txt","FileFinder\valgrind.txt","657","366","2022-02-19T17:02:36.0000000Z","64c382f393893a390e453eda77ce37d111d922f58c98f27024cb4a35d11af4b2"
"FileFinder/���_���1-2.pdf","FileFinder\���_���1-2.pdf","169189","163132","2022-01-28T11:55:46.0000000Z","1d7862f09fbf10655a8a015086f4a13c6830d3adb1d2bcd33fbfc188342a1e03"
