"OriginalProjectPath","RelativePath","Length","CreationTimeUtc","LastWriteTimeUtc","LastAccessTimeUtc","Attributes","Sha256","ArchiveAction","ArchiveReason","ArchiveRelativePath"
"Assembler","Autos sort\main.o","4240","2021-11-28T22:27:30.0000000Z","2021-11-28T22:27:30.0000000Z","2026-07-14T07:11:26.7102642Z","533536","027f746f882a6e1b4568fd35029a9b1f570bf789d0a8c76041aee891f386bc45","manifest-only","generated-file:.o",""
"Assembler","Autos sort\makefile","182","2021-11-28T22:55:08.0000000Z","2021-11-28T22:55:08.0000000Z","2026-07-14T07:11:26.7123894Z","533536","68907c9cd7f840b576aa618152b4f2f1b8395df11577559becf2aa358b8a1e2e","copied","tracked-original-file","projects\Assembler\Autos sort\makefile"
"Assembler","Autos sort\objconv","811936","2021-11-28T21:56:26.0000000Z","2021-11-28T21:56:26.0000000Z","2026-07-14T07:11:26.7220641Z","533536","06ce5f140f41a1e7de54fbc6a3204d9f6122ed9fc86731dd5e3a2c2129870f08","copied","tracked-original-file","projects\Assembler\Autos sort\objconv"
"Assembler","Autos sort\out.txt","397","2021-11-28T17:05:36.0000000Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:26.7356317Z","533536","f699e0974aa8fbd28c1fb159079f02150124fb5e688060ba5c272c870534af68","copied","tracked-original-file","projects\Assembler\Autos sort\out.txt"
"Assembler","Autos sort\output.c","1789","2021-11-28T17:05:36.0000000Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:26.7445712Z","533536","057ab0f8cf355a63d89fcd85ccf3ac836281aa5a1d3572f33f139f248d8acd8d","copied","tracked-original-file","projects\Assembler\Autos sort\output.c"
"Assembler","Autos sort\perimeter.asm","10255","2021-11-28T23:07:08.0000000Z","2021-11-28T23:07:08.0000000Z","2026-07-14T07:11:26.7546979Z","533536","6922c31e09cb679ae348b779400595ff489996a48b934a259b73770b52e33bcf","copied","tracked-original-file","projects\Assembler\Autos sort\perimeter.asm"
"Assembler","Autos sort\perimeter.lst","17221","2021-11-28T22:54:36.0000000Z","2021-11-28T22:54:36.0000000Z","2026-07-14T07:11:26.7661069Z","533536","9fe8c8a6075746c78ec5c8d6c191056b9cc6bdbaa0f114003d6696312efd88e0","copied","tracked-original-file","projects\Assembler\Autos sort\perimeter.lst"
"Assembler","Autos sort\perimeter.o","2976","2021-11-28T22:54:36.0000000Z","2021-11-28T22:54:36.0000000Z","2026-07-14T07:11:26.7763836Z","533536","d97bf94a64162f2524e908f9c3e8c28cf4980ef0d5c2518ca34483596e80fa8a","manifest-only","generated-file:.o",""
"Assembler","Autos sort\sorts.c","1906","2021-11-28T21:30:28.0000000Z","2021-11-28T21:30:28.0000000Z","2026-07-14T07:11:26.7779941Z","533536","32d0e3142f3ea64c7968037c6f19e35d15425c685231546540622f13f4b9ceed","copied","tracked-original-file","projects\Assembler\Autos sort\sorts.c"
"Assembler","Autos sort\sorts.o","2976","2021-11-28T22:53:34.0000000Z","2021-11-28T22:53:34.0000000Z","2026-07-14T07:11:26.7865454Z","533536","68b402a4b93ff282dec28201c8d820d5a63925c366285303009e85f9749aea0d","manifest-only","generated-file:.o",""
"Assembler","Autos sort\sorts.s","4420","2021-11-28T21:30:30.0000000Z","2021-11-28T21:30:30.0000000Z","2026-07-14T07:11:26.7882199Z","533536","0d6222c4442d41c8983bc2c0bceeff0ad07ed66ca3629fa87bddc8c8ec5c1737","copied","tracked-original-file","projects\Assembler\Autos sort\sorts.s"
"Assembler","Autos sort\task","22624","2021-11-28T23:05:14.0000000Z","2021-11-28T23:05:14.0000000Z","2026-07-14T07:11:26.7967933Z","533536","10f3fd09a7702403b811c5972dbb6c9b3cfa88a45f2c55d4c9147ea1cb4547f4","copied","tracked-original-file","projects\Assembler\Autos sort\task"
"Assembler","Autos sort\test01.txt","80","2021-11-28T17:05:36.0000000Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:26.8059918Z","533536","5339b340bccbe9ffdb3269a2bc093ef749a7cec14f4030f233771224c6bea4fa","copied","tracked-original-file","projects\Assembler\Autos sort\test01.txt"
"C","Autos sort\Бинарная сортировка на NASM оболочка на C.txt","0","2021-11-28T23:45:08.3797179Z","2021-11-28T23:45:08.0000000Z","2026-07-14T07:11:38.0746918Z","533536","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","copied","tracked-original-file","projects\C\Autos sort\Бинарная сортировка на NASM оболочка на C.txt"
"C","Autos sort\Backup\data.h","2220","2021-11-28T23:36:09.9801281Z","2021-11-28T20:58:26.0000000Z","2026-07-14T07:11:38.0826946Z","533536","e4b16e7e03ebdf0a7e61f69f66fef491683c1db5f85348b61c7e38dac064a9e2","copied","tracked-original-file","projects\C\Autos sort\Backup\data.h"
"C","Autos sort\Backup\extdata.h","2621","2021-11-28T23:36:10.0063895Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:38.0917245Z","533536","0ffa0410ab9a3b99592c0e1203be656bdac14fa66b597f4312ad5d994dbd22a7","copied","tracked-original-file","projects\C\Autos sort\Backup\extdata.h"
